,Player,Season,GP,W,Sv%,GAA,Age
162,Andy Moog,19841985,39,22,0.895,3.3,24
163,Andy Moog,19851986,47,27,0.889,3.7,25
164,Andy Moog,19861987,46,28,0.881,3.52,26
165,Andy Moog,19871988,6,4,0.906,2.84,27
166,Andy Moog,19881989,41,18,0.877,3.22,28
167,Andy Moog,19891990,46,24,0.893,2.89,29
168,Andy Moog,19901991,51,25,0.896,2.87,30
169,Andy Moog,19911992,62,28,0.887,3.23,31
170,Andy Moog,19921993,55,37,0.876,3.16,32
171,Andy Moog,19931994,55,24,0.894,3.27,33
172,Andy Moog,19941995,31,10,0.915,2.44,34
173,Andy Moog,19951996,41,13,0.9,2.99,35
174,Andy Moog,19961997,48,28,0.913,2.15,36
175,Andy Moog,19971998,42,18,0.905,2.49,37
176,Antero Niittymaki,20032004,3,3,0.961,1.0,23
177,Antero Niittymaki,20052006,46,23,0.895,2.97,25
178,Antero Niittymaki,20062007,52,9,0.894,3.38,26
179,Antero Niittymaki,20072008,28,12,0.907,2.91,27
180,Antero Niittymaki,20082009,32,15,0.912,2.76,28
181,Antero Niittymaki,20092010,49,21,0.909,2.87,29
182,Antero Niittymaki,20102011,24,12,0.896,2.71,30
183,Anthony Stolarz,20162017,7,2,0.928,2.07,22
184,Anthony Stolarz,20182019,18,4,0.901,3.45,24
185,Anthony Stolarz,20192020,1,0,0.944,2.04,25
186,Anthony Stolarz,20202021,8,4,0.926,2.2,26
187,Antoine Bibeau,20162017,2,1,0.927,1.99,22
188,Antoine Bibeau,20192020,2,1,0.881,3.27,25
189,Anton Forsberg,20142015,5,0,0.866,4.69,22
190,Anton Forsberg,20152016,4,1,0.907,3.03,23
191,Anton Forsberg,20162017,1,0,0.852,4.1,24
192,Anton Forsberg,20172018,35,10,0.908,2.97,25
193,Anton Forsberg,20192020,3,1,0.897,3.35,27
194,Anton Forsberg,20202021,8,3,0.909,3.21,28
195,Anton Khudobin,20092010,2,2,0.979,0.86,23
196,Anton Khudobin,20102011,4,2,0.942,1.59,24
197,Anton Khudobin,20112012,1,1,0.978,1.0,25
198,Anton Khudobin,20122013,14,9,0.92,2.32,26
199,Anton Khudobin,20132014,36,19,0.926,2.3,27
200,Anton Khudobin,20142015,34,8,0.9,2.72,28
201,Anton Khudobin,20152016,9,3,0.909,2.69,29
202,Anton Khudobin,20162017,16,7,0.904,2.64,30
203,Anton Khudobin,20172018,31,16,0.913,2.56,31
204,Anton Khudobin,20182019,41,16,0.923,2.57,32
205,Anton Khudobin,20192020,30,16,0.93,2.22,33
206,Anton Khudobin,20202021,32,12,0.905,2.54,34
207,Antti Niemi,20082009,3,1,0.864,3.4,25
208,Antti Niemi,20092010,39,26,0.912,2.25,26
209,Antti Niemi,20102011,60,35,0.92,2.38,27
210,Antti Niemi,20112012,68,34,0.915,2.42,28
211,Antti Niemi,20122013,43,24,0.924,2.16,29
212,Antti Niemi,20132014,64,39,0.913,2.39,30
213,Antti Niemi,20142015,61,31,0.914,2.59,31
214,Antti Niemi,20152016,48,25,0.905,2.67,32
215,Antti Niemi,20162017,37,12,0.892,3.3,33
216,Antti Niemi,20172018,24,7,0.911,3.12,34
217,Antti Niemi,20182019,17,8,0.887,3.78,35
218,Antti Raanta,20132014,25,13,0.897,2.71,24
219,Antti Raanta,20142015,14,7,0.936,1.89,25
220,Antti Raanta,20152016,25,11,0.919,2.24,26
221,Antti Raanta,20162017,30,16,0.922,2.26,27
222,Antti Raanta,20172018,47,21,0.93,2.24,28
223,Antti Raanta,20182019,12,5,0.906,2.88,29
224,Antti Raanta,20192020,33,15,0.921,2.63,30
225,Antti Raanta,20202021,12,5,0.905,3.36,31
226,Arturs Irbe,19911992,13,2,0.868,4.46,24
227,Arturs Irbe,19921993,36,7,0.886,4.11,25
228,Arturs Irbe,19931994,74,30,0.899,2.84,26
229,Arturs Irbe,19941995,38,14,0.895,3.26,27
230,Arturs Irbe,19951996,22,4,0.86,4.59,28
231,Arturs Irbe,19961997,35,17,0.893,2.69,29
232,Arturs Irbe,19971998,41,14,0.907,2.73,30
233,Arturs Irbe,19981999,62,27,0.923,2.22,31
234,Arturs Irbe,19992000,75,34,0.906,2.42,32
235,Arturs Irbe,20002001,77,37,0.908,2.45,33
236,Arturs Irbe,20012002,51,20,0.902,2.54,34
237,Arturs Irbe,20022003,34,7,0.877,3.18,35
238,Arturs Irbe,20032004,10,5,0.899,2.45,36
239,Artyom Zagidulin,20202021,1,0,0.818,4.25,25
240,Barry Brust,20062007,11,2,0.878,3.7,23
241,Ben Bishop,20082009,6,1,0.893,2.94,22
242,Ben Bishop,20102011,7,3,0.899,2.77,24
243,Ben Bishop,20112012,10,3,0.909,2.48,25
244,Ben Bishop,20122013,22,11,0.92,2.67,26
245,Ben Bishop,20132014,63,37,0.924,2.23,27
246,Ben Bishop,20142015,62,40,0.916,2.32,28
247,Ben Bishop,20152016,61,35,0.926,2.06,29
248,Ben Bishop,20162017,39,18,0.91,2.54,30
249,Ben Bishop,20172018,53,26,0.916,2.49,31
250,Ben Bishop,20182019,46,27,0.934,1.98,32
251,Ben Bishop,20192020,44,21,0.92,2.5,33
252,Ben Scrivens,20112012,12,4,0.903,3.13,25
253,Ben Scrivens,20122013,20,7,0.915,2.69,26
254,Ben Scrivens,20132014,40,16,0.922,2.55,27
255,Ben Scrivens,20142015,57,15,0.89,3.16,28
256,Ben Scrivens,20152016,15,5,0.906,3.07,29
257,Bernie Parent,19651966,39,12,0.898,3.69,20
258,Bernie Parent,19661967,18,4,0.891,3.65,21
259,Bernie Parent,19671968,38,15,0.926,2.49,22
260,Bernie Parent,19681969,58,17,0.925,2.7,23
261,Bernie Parent,19691970,62,13,0.921,2.8,24
262,Bernie Parent,19701971,48,16,0.913,2.73,25
263,Bernie Parent,19711972,47,17,0.915,2.57,26
264,Bernie Parent,19731974,73,47,0.932,1.89,28
265,Bernie Parent,19741975,68,44,0.918,2.04,29
266,Bernie Parent,19751976,11,6,0.907,2.35,30
267,Bernie Parent,19761977,61,35,0.899,2.71,31
268,Bernie Parent,19771978,49,29,0.912,2.22,32
269,Bernie Parent,19781979,36,16,0.893,2.71,33
270,Bernie Wolfe,19751976,40,5,0.886,4.17,24
271,Bernie Wolfe,19761977,37,7,0.879,3.85,25
272,Bernie Wolfe,19771978,25,4,0.871,4.26,26
273,Bernie Wolfe,19781979,17,4,0.855,4.75,27
274,Bill McKenzie,19731974,13,4,0.885,3.59,24
275,Bill McKenzie,19741975,13,1,0.862,4.71,25
276,Bill McKenzie,19751976,22,1,0.845,5.2,26
277,Bill McKenzie,19761977,5,0,0.921,2.41,27
278,Bill McKenzie,19771978,12,3,0.879,3.87,28
279,Bill McKenzie,19791980,26,9,0.871,3.49,30
280,Bill Oleschuk,19751976,1,0,0.923,4.0,20
281,Bill Oleschuk,19771978,2,0,0.839,5.4,22
282,Bill Oleschuk,19781979,40,6,0.874,3.86,23
283,Bill Oleschuk,19791980,12,1,0.859,4.21,24
284,Bill Ranford,19851986,4,3,0.914,2.51,19
285,Bill Ranford,19861987,41,16,0.891,3.34,20
286,Bill Ranford,19871988,6,3,0.899,2.95,21
287,Bill Ranford,19881989,29,15,0.877,3.5,22
288,Bill Ranford,19891990,56,24,0.887,3.19,23
289,Bill Ranford,19901991,60,27,0.893,3.2,24
290,Bill Ranford,19911992,67,27,0.884,3.58,25
291,Bill Ranford,19921993,67,17,0.884,3.84,26
292,Bill Ranford,19931994,71,22,0.898,3.48,27
293,Bill Ranford,19941995,40,15,0.883,3.62,28
294,Bill Ranford,19951996,77,34,0.885,3.29,29
295,Bill Ranford,19961997,55,20,0.887,3.25,30
296,Bill Ranford,19971998,22,7,0.901,2.79,31
297,Bill Ranford,19981999,36,6,0.885,3.64,32
298,Bill Ranford,19992000,16,4,0.885,3.59,33
299,Billy Smith,19711972,5,1,0.871,4.6,21
300,Billy Smith,19721973,37,7,0.878,4.16,22
301,Billy Smith,19731974,46,9,0.897,3.08,23
302,Billy Smith,19741975,58,21,0.905,2.78,24
303,Billy Smith,19751976,39,19,0.908,2.62,25
304,Billy Smith,19761977,36,21,0.916,2.5,26
305,Billy Smith,19771978,38,20,0.909,2.65,27
306,Billy Smith,19781979,39,25,0.899,2.87,28
307,Billy Smith,19791980,38,15,0.898,2.96,29
308,Billy Smith,19801981,41,22,0.895,3.28,30
309,Billy Smith,19811982,46,32,0.898,2.97,31
310,Billy Smith,19821983,41,18,0.906,2.87,32
311,Billy Smith,19831984,42,23,0.896,3.43,33
312,Billy Smith,19841985,37,18,0.879,3.83,34
313,Billy Smith,19851986,41,20,0.881,3.73,35
314,Billy Smith,19861987,40,14,0.869,3.53,36
315,Billy Smith,19871988,38,17,0.893,3.22,37
316,Billy Smith,19881989,17,3,0.851,4.44,38
317,Blaine Lacher,19941995,35,19,0.902,2.41,24
318,Blaine Lacher,19951996,12,3,0.845,3.94,25
319,Bob Champoux,19731974,17,2,0.848,5.21,31
320,Bob Essensa,19881989,20,6,0.881,3.7,23
321,Bob Essensa,19891990,36,18,0.891,3.15,24
322,Bob Essensa,19901991,55,19,0.898,3.15,25
323,Bob Essensa,19911992,47,21,0.91,2.88,26
324,Bob Essensa,19921993,67,33,0.893,3.53,27
325,Bob Essensa,19931994,69,23,0.885,3.6,28
326,Bob Essensa,19961997,19,4,0.899,2.83,31
327,Bob Essensa,19971998,16,6,0.913,2.54,32
328,Bob Essensa,19981999,39,12,0.901,2.75,33
329,Bob Essensa,19992000,30,13,0.898,2.78,34
330,Bob Essensa,20002001,39,18,0.892,2.68,35
331,Bob Essensa,20012002,9,0,0.85,2.91,36
332,Bob Froese,19821983,25,17,0.896,2.52,24
333,Bob Froese,19831984,48,28,0.887,3.15,25
334,Bob Froese,19841985,17,13,0.913,2.39,26
335,Bob Froese,19851986,51,31,0.909,2.55,27
336,Bob Froese,19861987,31,17,0.885,3.64,28
337,Bob Froese,19871988,25,8,0.878,3.54,29
338,Bob Froese,19881989,30,9,0.87,3.78,30
339,Bob Froese,19891990,15,5,0.873,3.33,31
340,Bob Janecyk,19831984,8,2,0.882,4.1,26
341,Bob Janecyk,19841985,52,23,0.877,3.66,27
342,Bob Janecyk,19851986,38,14,0.855,4.69,28
343,Bob Janecyk,19861987,7,4,0.847,4.87,29
344,Bob Janecyk,19871988,5,1,0.861,4.56,30
345,Bob Janecyk,19881989,1,0,0.909,4.01,31
346,Bob Johnson,19721973,11,6,0.905,2.67,24
347,Bob Johnson,19741975,12,3,0.858,5.03,26
