,Player,Season,GP,W,Sv%,GAA,Age
2058,Joey Daccord,20182019,1,0,0.875,5.0,22
2059,Joey Daccord,20202021,8,1,0.897,3.27,24
2060,Joey MacDonald,20062007,15,3,0.894,3.12,26
2061,Joey MacDonald,20072008,2,0,0.918,2.99,27
2062,Joey MacDonald,20082009,49,14,0.901,3.37,28
2063,Joey MacDonald,20092010,6,1,0.892,3.2,29
2064,Joey MacDonald,20102011,15,5,0.917,2.58,30
2065,Joey MacDonald,20112012,14,8,0.912,2.16,31
2066,Joey MacDonald,20122013,21,8,0.902,2.87,32
2067,Joey MacDonald,20132014,11,5,0.89,2.91,33
2068,Johan Backlund,20092010,1,0,0.917,3.0,28
2069,Johan Hedberg,20002001,9,7,0.905,2.64,27
2070,Johan Hedberg,20012002,66,25,0.904,2.76,28
2071,Johan Hedberg,20022003,41,14,0.895,3.14,29
2072,Johan Hedberg,20032004,21,8,0.9,2.51,30
2073,Johan Hedberg,20052006,19,12,0.898,2.67,32
2074,Johan Hedberg,20062007,21,9,0.898,2.89,33
2075,Johan Hedberg,20072008,36,14,0.892,3.46,34
2076,Johan Hedberg,20082009,33,13,0.886,3.49,35
2077,Johan Hedberg,20092010,47,21,0.915,2.62,36
2078,Johan Hedberg,20102011,34,15,0.912,2.38,37
2079,Johan Hedberg,20112012,27,17,0.918,2.22,38
2080,Johan Hedberg,20122013,19,6,0.883,2.76,39
2081,Johan Holmqvist,20002001,2,0,0.859,5.05,22
2082,Johan Holmqvist,20012002,1,0,1.0,0.0,23
2083,Johan Holmqvist,20022003,1,0,0.889,3.08,24
2084,Johan Holmqvist,20062007,48,27,0.893,2.85,28
2085,Johan Holmqvist,20072008,47,21,0.889,3.04,29
2086,John Adams,19721973,14,9,0.906,3.0,26
2087,John Adams,19741975,8,0,0.833,6.9,28
2088,John Blue,19921993,23,9,0.893,2.9,26
2089,John Blue,19931994,18,5,0.885,2.99,27
2090,John Blue,19951996,5,2,0.891,3.52,29
2091,John Curry,20082009,3,2,0.913,2.4,24
2092,John Curry,20092010,1,0,0.643,12.25,25
2093,John Curry,20132014,2,1,0.93,3.01,29
2094,John Curry,20142015,2,0,0.8,4.18,30
2095,John Davidson,19731974,39,13,0.902,3.08,20
2096,John Davidson,19741975,40,17,0.887,3.66,21
2097,John Davidson,19751976,56,22,0.879,3.97,22
2098,John Davidson,19761977,39,14,0.895,3.55,23
2099,John Davidson,19771978,34,14,0.899,3.18,24
2100,John Davidson,19781979,39,20,0.873,3.53,25
2101,John Davidson,19791980,41,20,0.885,3.18,26
2102,John Davidson,19801981,10,1,0.832,5.17,27
2103,John Davidson,19811982,1,1,0.966,1.0,28
2104,John Davidson,19821983,2,1,0.909,2.5,29
2105,John Garrett,19791980,52,16,0.866,3.99,28
2106,John Garrett,19801981,54,15,0.872,4.6,29
2107,John Garrett,19811982,28,9,0.854,4.64,30
2108,John Garrett,19821983,34,13,0.889,3.57,31
2109,John Garrett,19831984,29,14,0.85,4.12,32
2110,John Garrett,19841985,10,1,0.82,6.49,33
2111,John Gibson,20132014,3,3,0.954,1.33,20
2112,John Gibson,20142015,23,13,0.914,2.6,21
2113,John Gibson,20152016,40,21,0.92,2.07,22
2114,John Gibson,20162017,52,25,0.924,2.22,23
2115,John Gibson,20172018,60,31,0.926,2.43,24
2116,John Gibson,20182019,58,26,0.917,2.84,25
2117,John Gibson,20192020,51,20,0.904,3.0,26
2118,John Gibson,20202021,35,9,0.903,2.98,27
2119,John Grahame,19992000,24,7,0.91,2.46,24
2120,John Grahame,20002001,10,3,0.867,3.57,25
2121,John Grahame,20012002,19,8,0.897,2.89,26
2122,John Grahame,20022003,40,17,0.909,2.52,27
2123,John Grahame,20032004,29,18,0.913,2.06,28
2124,John Grahame,20052006,57,29,0.889,3.06,30
2125,John Grahame,20062007,28,10,0.897,2.85,31
2126,John Grahame,20072008,17,5,0.875,3.75,32
2127,John Henderson,19541955,45,15,,2.55,21
2128,John Henderson,19551956,1,0,0.857,4.0,22
2129,John Tanner,19891990,1,0,0.9,3.03,18
2130,John Tanner,19901991,6,1,0.88,4.21,19
2131,John Tanner,19911992,14,1,0.883,3.47,20
2132,John Vanbiesbrouck,19811982,1,1,0.967,1.0,18
2133,John Vanbiesbrouck,19831984,3,2,0.881,3.35,20
2134,John Vanbiesbrouck,19841985,42,12,0.879,4.21,21
2135,John Vanbiesbrouck,19851986,61,31,0.887,3.33,22
2136,John Vanbiesbrouck,19861987,50,18,0.882,3.64,23
2137,John Vanbiesbrouck,19871988,56,27,0.89,3.38,24
2138,John Vanbiesbrouck,19881989,56,28,0.881,3.69,25
2139,John Vanbiesbrouck,19891990,47,19,0.887,3.38,26
2140,John Vanbiesbrouck,19901991,40,15,0.891,3.35,27
2141,John Vanbiesbrouck,19911992,45,27,0.91,2.85,28
2142,John Vanbiesbrouck,19921993,48,20,0.9,3.31,29
2143,John Vanbiesbrouck,19931994,57,21,0.924,2.53,30
2144,John Vanbiesbrouck,19941995,37,14,0.914,2.47,31
2145,John Vanbiesbrouck,19951996,57,26,0.904,2.68,32
2146,John Vanbiesbrouck,19961997,57,27,0.919,2.29,33
2147,John Vanbiesbrouck,19971998,60,18,0.899,2.87,34
2148,John Vanbiesbrouck,19981999,62,27,0.902,2.18,35
2149,John Vanbiesbrouck,19992000,50,25,0.906,2.2,36
2150,John Vanbiesbrouck,20002001,48,14,0.901,2.87,37
2151,John Vanbiesbrouck,20012002,5,2,0.915,2.0,38
2152,Johnny Bower,19531954,70,29,,2.54,29
2153,Johnny Bower,19541955,5,2,,2.6,30
2154,Johnny Bower,19561957,2,0,0.882,3.01,32
2155,Johnny Bower,19581959,39,15,0.914,2.72,34
2156,Johnny Bower,19591960,66,34,0.919,2.69,35
2157,Johnny Bower,19601961,58,33,0.922,2.5,36
2158,Johnny Bower,19611962,59,31,0.917,2.56,37
2159,Johnny Bower,19621963,42,20,0.912,2.6,38
2160,Johnny Bower,19631964,51,24,0.932,2.11,39
2161,Johnny Bower,19641965,34,14,0.924,2.38,40
2162,Johnny Bower,19651966,35,18,0.93,2.26,41
2163,Johnny Bower,19661967,27,11,0.925,2.65,42
2164,Johnny Bower,19671968,43,13,0.934,2.26,43
2165,Johnny Bower,19681969,20,6,0.909,2.86,44
2166,Johnny Bower,19691970,1,0,0.868,5.0,45
2167,Jon Casey,19831984,2,1,0.898,4.31,21
2168,Jon Casey,19851986,26,11,0.884,3.91,23
2169,Jon Casey,19871988,14,1,0.882,3.72,25
2170,Jon Casey,19881989,55,18,0.9,3.06,26
2171,Jon Casey,19891990,61,31,0.896,3.22,27
2172,Jon Casey,19901991,55,21,0.891,2.98,28
2173,Jon Casey,19911992,52,19,0.882,3.4,29
2174,Jon Casey,19921993,60,26,0.885,3.33,30
2175,Jon Casey,19931994,57,30,0.881,2.88,31
2176,Jon Casey,19941995,19,7,0.9,2.75,32
2177,Jon Casey,19951996,9,2,0.861,3.8,33
2178,Jon Casey,19961997,15,3,0.866,3.4,34
2179,Jon Gillies,20162017,1,1,0.964,1.0,22
2180,Jon Gillies,20172018,11,3,0.896,2.88,23
2181,Jonas Gustavsson,20092010,42,16,0.902,2.87,25
2182,Jonas Gustavsson,20102011,23,6,0.89,3.28,26
2183,Jonas Gustavsson,20112012,42,17,0.902,2.92,27
2184,Jonas Gustavsson,20122013,7,2,0.879,2.92,28
2185,Jonas Gustavsson,20132014,27,16,0.907,2.63,29
2186,Jonas Gustavsson,20142015,7,3,0.911,2.56,30
2187,Jonas Gustavsson,20152016,24,11,0.908,2.72,31
2188,Jonas Gustavsson,20162017,7,1,0.878,3.1,32
2189,Jonas Hiller,20072008,23,10,0.927,2.06,25
2190,Jonas Hiller,20082009,46,23,0.919,2.39,26
2191,Jonas Hiller,20092010,59,30,0.918,2.73,27
2192,Jonas Hiller,20102011,49,26,0.924,2.56,28
2193,Jonas Hiller,20112012,73,29,0.91,2.57,29
2194,Jonas Hiller,20122013,26,15,0.913,2.36,30
2195,Jonas Hiller,20132014,50,29,0.911,2.48,31
2196,Jonas Hiller,20142015,52,26,0.918,2.36,32
2197,Jonas Hiller,20152016,26,9,0.879,3.51,33
2198,Jonas Johansson,20192020,6,1,0.894,2.94,24
2199,Jonas Johansson,20202021,15,5,0.897,2.86,25
2200,Jonathan Bernier,20072008,4,1,0.864,4.03,19
2201,Jonathan Bernier,20092010,3,3,0.957,1.3,21
2202,Jonathan Bernier,20102011,25,11,0.913,2.48,22
2203,Jonathan Bernier,20112012,16,5,0.909,2.36,23
2204,Jonathan Bernier,20122013,14,9,0.922,1.87,24
2205,Jonathan Bernier,20132014,55,26,0.923,2.69,25
2206,Jonathan Bernier,20142015,58,21,0.912,2.87,26
2207,Jonathan Bernier,20152016,38,12,0.908,2.88,27
2208,Jonathan Bernier,20162017,39,21,0.915,2.5,28
2209,Jonathan Bernier,20172018,37,19,0.913,2.85,29
2210,Jonathan Bernier,20182019,35,9,0.904,3.16,30
2211,Jonathan Bernier,20192020,46,15,0.907,2.95,31
2212,Jonathan Bernier,20202021,24,9,0.914,2.99,32
2213,Jonathan Quick,20072008,3,1,0.855,3.84,21
2214,Jonathan Quick,20082009,44,21,0.914,2.48,22
2215,Jonathan Quick,20092010,72,39,0.907,2.54,23
2216,Jonathan Quick,20102011,61,35,0.918,2.24,24
2217,Jonathan Quick,20112012,69,35,0.929,1.95,25
2218,Jonathan Quick,20122013,37,18,0.902,2.45,26
2219,Jonathan Quick,20132014,49,27,0.915,2.07,27
2220,Jonathan Quick,20142015,72,36,0.918,2.24,28
2221,Jonathan Quick,20152016,68,40,0.918,2.22,29
2222,Jonathan Quick,20162017,17,8,0.917,2.26,30
2223,Jonathan Quick,20172018,64,33,0.921,2.4,31
2224,Jonathan Quick,20182019,46,16,0.888,3.38,32
2225,Jonathan Quick,20192020,42,16,0.904,2.79,33
2226,Jonathan Quick,20202021,22,11,0.898,2.86,34
2227,Joni Ortio,20132014,9,4,0.891,2.52,22
2228,Joni Ortio,20142015,6,4,0.908,2.52,23
2229,Joni Ortio,20152016,22,7,0.902,2.76,24
2230,Joonas Korpisalo,20152016,31,16,0.92,2.6,21
2231,Joonas Korpisalo,20162017,14,7,0.905,2.88,22
2232,Joonas Korpisalo,20172018,18,8,0.897,3.32,23
2233,Joonas Korpisalo,20182019,27,10,0.897,2.95,24
2234,Joonas Korpisalo,20192020,37,19,0.911,2.6,25
2235,Joonas Korpisalo,20202021,33,9,0.894,3.3,26
2236,Jordan Binnington,20152016,1,0,0.75,4.69,22
2237,Jordan Binnington,20182019,32,24,0.927,1.89,25
2238,Jordan Binnington,20192020,50,30,0.912,2.56,26
2239,Jordan Binnington,20202021,42,18,0.91,2.65,27
2240,Jordan Sigalet,20052006,1,0,,0.0,24
2241,Jordan Willis,19951996,1,0,0.929,3.2,20
2242,Jorge Alves,20162017,1,0,,0.0,37
2243,Jose Theodore,19951996,1,0,0.5,6.69,19
2244,Jose Theodore,19961997,16,5,0.896,3.87,20
2245,Jose Theodore,19981999,18,4,0.877,3.29,22
2246,Jose Theodore,19992000,30,12,0.919,2.1,23
2247,Jose Theodore,20002001,59,20,0.909,2.57,24
2248,Jose Theodore,20012002,67,30,0.931,2.11,25
2249,Jose Theodore,20022003,57,20,0.908,2.9,26
2250,Jose Theodore,20032004,67,33,0.919,2.27,27
2251,Jose Theodore,20052006,43,18,0.882,3.41,29
2252,Jose Theodore,20062007,33,13,0.891,3.26,30
2253,Jose Theodore,20072008,53,28,0.91,2.44,31
2254,Jose Theodore,20082009,57,32,0.9,2.87,32
2255,Jose Theodore,20092010,47,30,0.911,2.81,33
2256,Jose Theodore,20102011,32,15,0.916,2.71,34
2257,Jose Theodore,20112012,53,22,0.917,2.46,35
2258,Jose Theodore,20122013,15,4,0.893,3.29,36
2259,Josef Korenar,20202021,10,3,0.899,3.17,22
2260,Josh Harding,20052006,3,2,0.904,2.59,21
2261,Josh Harding,20062007,7,3,0.96,1.16,22
2262,Josh Harding,20072008,29,11,0.908,2.94,23
2263,Josh Harding,20082009,19,3,0.929,2.21,24
2264,Josh Harding,20092010,25,9,0.905,3.05,25
2265,Josh Harding,20112012,34,13,0.917,2.62,27
2266,Josh Harding,20122013,5,1,0.863,3.24,28
2267,Josh Harding,20132014,29,18,0.933,1.66,29
2268,Josh Tordjman,20082009,2,0,0.871,4.08,23
2269,Julian Klymkiw,19581959,1,0,0.778,6.37,25
2270,Jussi Markkanen,20012002,14,6,0.929,1.84,26
2271,Jussi Markkanen,20022003,22,7,0.904,2.59,27
2272,Jussi Markkanen,20032004,33,10,0.918,2.38,28
2273,Jussi Markkanen,20052006,37,15,0.88,3.13,30
2274,Jussi Markkanen,20062007,22,5,0.886,3.14,31
2275,Jussi Rynnas,20112012,2,0,0.825,4.25,24
2276,Jussi Rynnas,20122013,1,0,1.0,0.0,25
2277,Jussi Rynnas,20142015,2,0,0.841,4.54,27
2278,Justin Peters,20092010,9,6,0.905,2.83,23
2279,Justin Peters,20102011,12,3,0.875,3.98,24
2280,Justin Peters,20112012,7,2,0.931,2.48,25
2281,Justin Peters,20122013,19,4,0.891,3.46,26
2282,Justin Peters,20132014,21,7,0.919,2.5,27
2283,Justin Peters,20142015,12,3,0.881,3.25,28
2284,Justin Peters,20162017,3,0,0.9,3.16,30
2285,Justin Pogge,20082009,7,1,0.844,4.36,22
2286,Juuse Saros,20152016,1,0,0.87,3.1,20
2287,Juuse Saros,20162017,21,10,0.923,2.35,21
2288,Juuse Saros,20172018,26,11,0.925,2.45,22
2289,Juuse Saros,20182019,31,17,0.915,2.62,23
2290,Juuse Saros,20192020,40,17,0.914,2.7,24
2291,Juuse Saros,20202021,36,21,0.927,2.28,25
2292,Kaapo Kahkonen,20192020,5,3,0.913,2.96,23
2293,Kaapo Kahkonen,20202021,24,16,0.902,2.88,24
2294,Kaden Fulcher,20182019,1,0,0.818,4.41,20
2295,Kari Lehtonen,20032004,4,4,0.953,1.25,20
2296,Kari Lehtonen,20052006,38,20,0.906,2.94,22
2297,Kari Lehtonen,20062007,68,34,0.912,2.79,23
2298,Kari Lehtonen,20072008,48,17,0.916,2.9,24
2299,Kari Lehtonen,20082009,46,19,0.911,3.06,25
2300,Kari Lehtonen,20092010,12,6,0.911,2.81,26
2301,Kari Lehtonen,20102011,69,34,0.914,2.55,27
2302,Kari Lehtonen,20112012,59,32,0.922,2.33,28
2303,Kari Lehtonen,20122013,36,15,0.916,2.66,29
2304,Kari Lehtonen,20132014,65,33,0.919,2.41,30
2305,Kari Lehtonen,20142015,65,34,0.903,2.94,31
2306,Kari Lehtonen,20152016,43,25,0.906,2.76,32
2307,Kari Lehtonen,20162017,59,22,0.902,2.85,33
2308,Kari Lehtonen,20172018,37,15,0.912,2.56,34
2309,Kari Takko,19851986,1,0,0.909,3.01,23
2310,Kari Takko,19861987,38,13,0.887,3.46,24
2311,Kari Takko,19871988,37,8,0.866,4.48,25
2312,Kari Takko,19881989,32,8,0.899,3.48,26
2313,Kari Takko,19891990,21,4,0.858,4.03,27
2314,Kari Takko,19901991,13,4,0.861,4.54,28
2315,Karl Friesen,19861987,4,0,0.8,7.38,28
2316,Karri Ramo,20062007,2,0,0.826,3.45,20
2317,Karri Ramo,20072008,22,7,0.899,3.03,21
2318,Karri Ramo,20082009,24,4,0.894,3.66,22
2319,Karri Ramo,20132014,40,17,0.911,2.65,27
2320,Karri Ramo,20142015,34,15,0.912,2.6,28
2321,Karri Ramo,20152016,37,17,0.909,2.63,29
2322,Kasimir Kaskisuo,20192020,1,0,0.842,6.0,26
2323,Kasimir Kaskisuo,20202021,1,0,1.0,0.0,27
2324,Kay Whitmore,19881989,3,2,0.896,3.33,21
2325,Kay Whitmore,19891990,9,4,0.858,3.53,22
2326,Kay Whitmore,19901991,18,3,0.863,3.67,23
2327,Kay Whitmore,19911992,45,14,0.88,3.62,24
2328,Kay Whitmore,19921993,31,18,0.89,3.1,25
2329,Kay Whitmore,19931994,32,18,0.867,3.53,26
2330,Kay Whitmore,19941995,11,0,0.867,3.98,27
2331,Kay Whitmore,20002001,5,1,0.809,5.33,33
2332,Kay Whitmore,20012002,1,0,0.857,3.08,34
2333,Keith Kinkaid,20122013,1,0,0.923,2.33,23
2334,Keith Kinkaid,20142015,19,6,0.915,2.59,25
2335,Keith Kinkaid,20152016,23,9,0.904,2.81,26
2336,Keith Kinkaid,20162017,26,8,0.916,2.64,27
2337,Keith Kinkaid,20172018,41,26,0.913,2.77,28
2338,Keith Kinkaid,20182019,41,15,0.891,3.36,29
2339,Keith Kinkaid,20192020,6,1,0.875,4.24,30
2340,Keith Kinkaid,20202021,9,3,0.898,2.59,31
2341,Kelly Hrudey,19831984,12,7,0.903,3.16,22
2342,Kelly Hrudey,19841985,41,19,0.886,3.63,23
2343,Kelly Hrudey,19851986,45,19,0.906,3.22,24
2344,Kelly Hrudey,19861987,46,21,0.881,3.31,25
2345,Kelly Hrudey,19871988,47,22,0.896,3.34,26
2346,Kelly Hrudey,19881989,66,28,0.882,3.66,27
2347,Kelly Hrudey,19891990,52,22,0.873,4.07,28
2348,Kelly Hrudey,19901991,47,26,0.9,2.9,29
2349,Kelly Hrudey,19911992,60,26,0.897,3.37,30
2350,Kelly Hrudey,19921993,50,18,0.887,3.86,31
2351,Kelly Hrudey,19931994,64,22,0.897,3.68,32
2352,Kelly Hrudey,19941995,35,14,0.91,3.14,33
2353,Kelly Hrudey,19951996,36,7,0.907,3.26,34
2354,Kelly Hrudey,19961997,48,16,0.889,3.19,35
2355,Kelly Hrudey,19971998,28,4,0.897,2.73,36
2356,Ken Broderick,19691970,7,2,0.88,4.33,27
2357,Ken Broderick,19731974,5,2,0.874,3.2,31
2358,Ken Broderick,19741975,15,7,0.904,2.39,32
2359,Ken Brown,19701971,1,0,0.929,3.37,22
2360,Ken Dryden,19701971,6,6,0.957,1.65,23
2361,Ken Dryden,19711972,64,39,0.93,2.24,24
2362,Ken Dryden,19721973,54,33,0.926,2.26,25
2363,Ken Dryden,19741975,56,30,0.906,2.7,27
2364,Ken Dryden,19751976,62,42,0.927,2.03,28
2365,Ken Dryden,19761977,56,41,0.92,2.14,29
2366,Ken Dryden,19771978,52,37,0.922,2.05,30
2367,Ken Dryden,19781979,47,30,0.909,2.3,31
2368,Ken Ellacott,19821983,12,2,0.867,4.47,23
2369,Ken Holland,19801981,1,0,0.848,7.0,25
2370,Ken Holland,19831984,3,0,0.804,4.12,28
2371,Ken Lockett,19741975,25,6,0.886,3.18,27
2372,Ken Lockett,19751976,30,7,0.892,3.48,28
2373,Ken Wregget,19831984,3,1,0.891,5.09,19
2374,Ken Wregget,19841985,23,2,0.865,4.83,20
2375,Ken Wregget,19851986,30,9,0.874,4.34,21
2376,Ken Wregget,19861987,56,22,0.875,3.97,22
2377,Ken Wregget,19871988,56,12,0.87,4.45,23
2378,Ken Wregget,19881989,35,10,0.863,4.52,24
2379,Ken Wregget,19891990,51,22,0.891,3.42,25
2380,Ken Wregget,19901991,30,10,0.867,3.56,26
2381,Ken Wregget,19911992,32,14,0.86,3.72,27
2382,Ken Wregget,19921993,25,13,0.887,3.42,28
2383,Ken Wregget,19931994,42,21,0.893,3.37,29
2384,Ken Wregget,19941995,38,25,0.903,3.21,30
2385,Ken Wregget,19951996,37,20,0.905,3.24,31
2386,Ken Wregget,19961997,46,17,0.902,3.25,32
2387,Ken Wregget,19971998,15,3,0.904,2.75,33
2388,Ken Wregget,19981999,27,10,0.906,2.53,34
2389,Ken Wregget,19992000,29,14,0.9,2.66,35
2390,Kenneth Appleby,20172018,3,0,0.945,1.45,22
2391,Kent Simpson,20132014,1,0,0.714,6.0,21
2392,Kevin Boyle,20182019,5,1,0.928,2.17,26
2393,Kevin Hodson,19951996,4,2,0.955,1.1,23
2394,Kevin Hodson,19961997,6,2,0.93,1.63,24
2395,Kevin Hodson,19971998,21,9,0.901,2.67,25
2396,Kevin Hodson,19981999,9,2,0.898,2.91,26
2397,Kevin Hodson,19992000,24,2,0.856,3.67,27
2398,Kevin Hodson,20022003,7,0,0.881,2.55,30
2399,Kevin Lankinen,20202021,37,17,0.909,3.01,25
2400,Kevin Poulin,20102011,10,4,0.924,2.44,20
2401,Kevin Poulin,20112012,6,2,0.907,3.04,21
2402,Kevin Poulin,20122013,5,1,0.893,3.03,22
2403,Kevin Poulin,20132014,28,11,0.891,3.29,23
2404,Kevin Poulin,20142015,1,0,0.885,2.77,24
2405,Kevin Weekes,19971998,11,0,0.87,3.96,22
2406,Kevin Weekes,19981999,11,0,0.868,3.83,23
2407,Kevin Weekes,19992000,56,16,0.901,3.23,24
2408,Kevin Weekes,20002001,61,20,0.898,3.14,25
2409,Kevin Weekes,20012002,21,5,0.916,2.72,26
2410,Kevin Weekes,20022003,51,14,0.912,2.55,27
2411,Kevin Weekes,20032004,66,23,0.912,2.33,28
2412,Kevin Weekes,20052006,32,14,0.895,2.95,30
2413,Kevin Weekes,20062007,14,4,0.879,3.39,31
2414,Kevin Weekes,20072008,9,2,0.894,2.97,32
2415,Kevin Weekes,20082009,16,7,0.92,2.42,33
2416,Kirk McLean,19851986,2,1,0.814,5.98,19
2417,Kirk McLean,19861987,4,1,0.861,3.75,20
2418,Kirk McLean,19871988,41,11,0.875,3.78,21
2419,Kirk McLean,19881989,42,20,0.891,3.08,22
2420,Kirk McLean,19891990,63,21,0.88,3.47,23
2421,Kirk McLean,19901991,41,10,0.867,3.99,24
2422,Kirk McLean,19911992,65,38,0.901,2.74,25
2423,Kirk McLean,19921993,54,28,0.886,3.39,26
2424,Kirk McLean,19931994,52,23,0.891,2.99,27
2425,Kirk McLean,19941995,40,18,0.904,2.75,28
2426,Kirk McLean,19951996,45,15,0.879,3.54,29
2427,Kirk McLean,19961997,44,21,0.889,3.21,30
2428,Kirk McLean,19971998,44,14,0.881,3.54,31
2429,Kirk McLean,19981999,30,9,0.9,2.74,32
2430,Kirk McLean,19992000,22,7,0.896,2.89,33
2431,Kirk McLean,20002001,23,8,0.889,3.49,34
2432,Kristers Gudlevskis,20132014,1,1,0.947,2.01,21
2433,Kristers Gudlevskis,20152016,1,0,0.969,1.0,23
2434,Kristers Gudlevskis,20162017,1,0,1.0,0.0,24
2435,Landon Bow,20182019,2,0,0.947,1.03,23
2436,Larry Lozinski,19801981,30,6,0.858,4.29,22
2437,Laurent Brossoit,20142015,1,0,0.961,2.01,21
2438,Laurent Brossoit,20152016,5,0,0.873,3.61,22
2439,Laurent Brossoit,20162017,8,4,0.928,1.99,23
2440,Laurent Brossoit,20172018,14,3,0.883,3.24,24
2441,Laurent Brossoit,20182019,21,13,0.925,2.52,25
2442,Laurent Brossoit,20192020,19,6,0.895,3.28,26
2443,Laurent Brossoit,20202021,14,6,0.918,2.42,27
2444,Lefty Wilson,19531954,1,0,,0.0,34
2445,Lefty Wilson,19551956,1,0,1.0,0.0,36
2446,Lefty Wilson,19571958,1,0,0.958,1.16,38
2447,Leland Irving,20112012,7,1,0.912,3.19,23
2448,Leland Irving,20122013,6,2,0.883,3.33,24
2449,Len Broderick,19571958,1,1,0.909,2.0,19
2450,Les Binkley,19671968,54,20,0.905,2.87,33
2451,Les Binkley,19681969,50,10,0.902,3.29,34
2452,Les Binkley,19691970,27,10,0.886,3.21,35
2453,Les Binkley,19701971,34,11,0.9,2.86,36
2454,Les Binkley,19711972,31,7,0.883,3.53,37
2455,Les Kuntar,19931994,6,2,0.877,3.18,24
2456,Lindsay Middlebrook,19791980,10,2,0.877,4.15,24
2457,Lindsay Middlebrook,19801981,14,0,0.84,5.99,25
2458,Lindsay Middlebrook,19811982,3,0,0.9,3.0,26
2459,Lindsay Middlebrook,19821983,10,1,0.842,5.1,27
2460,Linus Ullmark,20152016,20,8,0.913,2.6,22
2461,Linus Ullmark,20162017,1,0,0.917,3.06,23
2462,Linus Ullmark,20172018,5,1,0.935,2.0,24
2463,Linus Ullmark,20182019,37,15,0.905,3.11,25
2464,Linus Ullmark,20192020,34,17,0.915,2.69,26
2465,Linus Ullmark,20202021,20,9,0.917,2.63,27
2466,Logan Thompson,20202021,1,0,1.0,0.0,23
2467,Lorne Anderson,19511952,3,1,,6.0,20
2468,Louis Domingue,20142015,7,1,0.911,2.73,22
2469,Louis Domingue,20152016,39,15,0.912,2.75,23
2470,Louis Domingue,20162017,31,11,0.908,3.08,24
2471,Louis Domingue,20172018,19,7,0.894,3.41,25
2472,Louis Domingue,20182019,26,21,0.908,2.88,26
2473,Louis Domingue,20192020,17,3,0.882,3.81,27
2474,Louis Domingue,20202021,1,0,0.87,3.12,28
2475,Lyle Carter,19711972,15,4,0.861,4.16,26
2476,Mackenzie Blackwood,20182019,23,10,0.918,2.61,22
2477,Mackenzie Blackwood,20192020,47,22,0.915,2.77,23
2478,Mackenzie Blackwood,20202021,35,14,0.902,3.04,24
2479,Mackenzie Skapski,20142015,2,2,0.978,0.5,20
2480,Magnus Hellberg,20132014,1,0,0.75,4.92,22
2481,Magnus Hellberg,20152016,1,0,0.667,6.0,24
2482,Magnus Hellberg,20162017,2,1,0.929,1.53,25
2483,Malcolm Subban,20142015,1,0,0.5,5.76,21
2484,Malcolm Subban,20162017,1,0,0.813,5.88,23
2485,Malcolm Subban,20172018,22,13,0.91,2.68,24
2486,Malcolm Subban,20182019,21,8,0.902,2.93,25
2487,Malcolm Subban,20192020,21,9,0.89,3.17,26
2488,Malcolm Subban,20202021,16,6,0.9,3.2,27
2489,Manny Fernandez,19941995,1,0,0.889,3.05,20
2490,Manny Fernandez,19951996,5,0,0.843,4.58,21
2491,Manny Fernandez,19971998,2,1,0.943,1.73,23
2492,Manny Fernandez,19981999,1,0,0.931,2.01,24
2493,Manny Fernandez,19992000,24,11,0.92,2.13,25
2494,Manny Fernandez,20002001,42,19,0.92,2.24,26
2495,Manny Fernandez,20012002,44,12,0.892,3.05,27
2496,Manny Fernandez,20022003,35,19,0.924,2.24,28
2497,Manny Fernandez,20032004,37,11,0.915,2.49,29
2498,Manny Fernandez,20052006,58,30,0.919,2.29,31
2499,Manny Fernandez,20062007,44,22,0.911,2.55,32
2500,Manny Fernandez,20072008,4,2,0.832,3.93,33
2501,Manny Fernandez,20082009,28,16,0.91,2.59,34
2502,Manny Legace,19981999,17,2,0.911,2.6,25
2503,Manny Legace,19992000,4,4,0.906,2.75,26
2504,Manny Legace,20002001,39,24,0.92,2.05,27
2505,Manny Legace,20012002,20,10,0.911,2.42,28
2506,Manny Legace,20022003,25,14,0.925,2.18,29
2507,Manny Legace,20032004,41,23,0.92,2.12,30
2508,Manny Legace,20052006,51,37,0.915,2.19,32
2509,Manny Legace,20062007,45,23,0.907,2.59,33
2510,Manny Legace,20072008,66,27,0.911,2.41,34
2511,Manny Legace,20082009,29,13,0.885,3.18,35
2512,Manny Legace,20092010,28,10,0.907,2.81,36
2513,Marc Behrend,19831984,6,2,0.826,5.5,22
2514,Marc Behrend,19841985,24,8,0.864,4.49,23
2515,Marc Behrend,19851986,9,2,0.817,5.7,24
2516,Marc D'amour,19851986,15,2,0.897,3.43,24
2517,Marc D'amour,19881989,1,0,1.0,0.0,27
2518,Marc Denis,19961997,1,0,0.885,3.02,19
2519,Marc Denis,19981999,4,1,0.918,2.49,21
2520,Marc Denis,19992000,23,9,0.917,2.54,22
2521,Marc Denis,20002001,32,6,0.895,3.25,23
2522,Marc Denis,20012002,42,9,0.899,3.11,24
2523,Marc Denis,20022003,77,27,0.903,3.09,25
2524,Marc Denis,20032004,66,21,0.918,2.56,26
2525,Marc Denis,20052006,49,21,0.9,3.25,28
2526,Marc Denis,20062007,44,17,0.883,3.19,29
2527,Marc Denis,20072008,10,1,0.859,4.05,30
2528,Marc Denis,20082009,1,0,0.857,3.0,31
2529,Marc Lamothe,19992000,2,1,0.8,5.16,25
