,Player,Season,Team,S/C,GP,GS,W,L,T,OT,SA,Svs,GA,Sv%,GAA,TOI,SO,G,A,P,PIM,Birth Year,S/P,Nationality,Draft Round,HOF,Age
3700,Johnny Bower,19561957,NYR,L,2,2,0,2,0,--,51,45,6,0.882,3.01,119:36,0,0,0,0,0,1924,SK,CAN,--,Y,32
1389,Johnny Bower,19581959,TOR,L,39,39,15,17,7,--,"1,234","1,128",106,0.914,2.72,2339:05,3,0,0,0,2,1924,SK,CAN,--,Y,34
185,Johnny Bower,19591960,TOR,L,66,66,34,24,8,--,"2,184","2,007",177,0.919,2.69,3954:00,5,0,0,0,4,1924,SK,CAN,--,Y,35
216,Johnny Bower,19601961,TOR,L,58,58,33,15,10,--,"1,870","1,725",145,0.922,2.5,3480:00,2,0,0,0,0,1924,SK,CAN,--,Y,36
297,Johnny Bower,19611962,TOR,L,59,59,31,18,10,--,"1,826","1,675",151,0.917,2.56,3540:00,2,0,1,1,4,1924,SK,CAN,--,Y,37
944,Johnny Bower,19621963,TOR,L,42,42,20,15,7,--,"1,239","1,130",109,0.912,2.6,2519:33,1,0,0,0,2,1924,SK,CAN,--,Y,38
636,Johnny Bower,19631964,TOR,L,51,51,24,15,11,--,"1,557","1,451",106,0.932,2.11,3007:41,5,0,0,0,4,1924,SK,CAN,--,Y,39
1466,Johnny Bower,19641965,TOR,L,34,34,14,13,7,--,"1,067",986,81,0.924,2.38,2039:01,3,0,0,0,6,1924,SK,CAN,--,Y,40
1102,Johnny Bower,19651966,TOR,L,35,34,18,10,5,--,"1,072",997,75,0.93,2.26,1995:11,3,0,1,1,0,1924,SK,CAN,--,Y,41
1770,Johnny Bower,19661967,TOR,L,27,24,11,8,3,--,839,776,63,0.925,2.65,1427:24,2,0,0,0,0,1924,SK,CAN,--,Y,42
1546,Johnny Bower,19671968,TOR,L,43,40,13,17,8,--,"1,275","1,191",84,0.934,2.26,2229:46,4,0,1,1,14,1924,SK,CAN,--,Y,43
2384,Johnny Bower,19681969,TOR,L,20,12,6,4,3,--,406,369,37,0.909,2.86,776:58,2,0,0,0,0,1924,SK,CAN,--,Y,44
3754,Johnny Bower,19691970,TOR,L,1,1,0,1,0,--,38,33,5,0.868,5.0,60:00,0,0,0,0,0,1924,SK,CAN,--,Y,45
