,Player,Season,Team,S/C,GP,GS,W,L,T,OT,SA,Svs,GA,Sv%,GAA,TOI,SO,G,A,P,PIM,Birth Year,S/P,Nationality,Draft Round,HOF,Age
3391,Carl Wetzel,19671968,MNS,L,5,4,1,3,1,--,137,119,18,0.869,4.02,268:36,0,0,0,0,0,1938,MI,USA,--,N,29
1288,Carter Hart,20182019,PHI,L,31,30,16,13,--,1,976,895,81,0.917,2.83,1716:55,0,0,0,0,0,1998,AB,CAN,2,N,20
651,Carter Hart,20192020,PHI,L,43,40,24,13,--,3,"1,100","1,005",95,0.914,2.42,2355:50,1,0,0,0,0,1998,AB,CAN,2,N,21
2097,Carter Hart,20202021,PHI,L,27,25,9,11,--,5,721,632,89,0.877,3.67,1456:19,1,0,0,0,2,1998,AB,CAN,2,N,22
3661,Carter Hutton,20122013,CHI,L,1,1,0,1,--,0,28,25,3,0.893,3.06,58:44,0,0,0,0,0,1985,ON,CAN,--,N,27
947,Carter Hutton,20132014,NSH,L,40,34,20,11,--,4,"1,006",915,91,0.91,2.62,2085:17,1,0,1,1,2,1985,ON,CAN,--,N,28
2400,Carter Hutton,20142015,NSH,L,18,17,6,7,--,4,450,406,44,0.902,2.61,1009:51,1,0,0,0,0,1985,ON,CAN,--,N,29
2266,Carter Hutton,20152016,NSH,L,17,15,7,5,--,4,464,426,38,0.918,2.33,978:56,2,0,1,1,0,1985,ON,CAN,--,N,30
1566,Carter Hutton,20162017,STL,L,30,21,13,8,--,2,663,605,58,0.913,2.39,1459:03,4,0,1,1,4,1985,ON,CAN,--,N,31
1190,Carter Hutton,20172018,STL,L,32,26,17,7,--,3,810,754,56,0.931,2.09,1609:32,3,0,0,0,2,1985,ON,CAN,--,N,32
1138,Carter Hutton,20182019,BUF,L,50,48,18,25,--,5,"1,541","1,399",142,0.908,3.0,2839:37,0,0,1,1,2,1985,ON,CAN,--,N,33
1723,Carter Hutton,20192020,BUF,L,31,30,12,14,--,4,918,824,94,0.898,3.18,1775:26,2,0,1,1,6,1985,ON,CAN,--,N,34
3342,Carter Hutton,20202021,BUF,L,13,12,1,10,--,1,341,302,39,0.886,3.47,674:43,0,0,0,0,0,1985,ON,CAN,--,N,35
2368,Casey DeSmith,20172018,PIT,L,14,11,6,4,--,1,356,328,28,0.921,2.4,700:09,1,0,0,0,2,1991,NH,USA,--,N,26
1386,Casey DeSmith,20182019,PIT,L,36,30,15,11,--,5,"1,060",971,89,0.916,2.75,1943:33,3,0,0,0,2,1991,NH,USA,--,N,27
1786,Casey DeSmith,20202021,PIT,L,20,17,11,7,--,0,543,495,48,0.912,2.54,1132:19,2,0,1,1,0,1991,NH,USA,--,N,29
3223,Cayden Primeau,20192020,MTL,L,2,2,1,1,--,0,72,67,5,0.931,2.52,119:06,0,0,0,0,0,1999,MI,USA,7,N,20
3440,Cayden Primeau,20202021,MTL,L,4,4,1,2,--,1,93,79,14,0.849,4.16,201:54,0,0,0,0,0,1999,MI,USA,7,N,21
2970,Cedrick Desjardins,20102011,TBL,R,2,2,2,0,--,0,63,61,2,0.968,1.0,120:19,0,0,0,0,0,1985,NB,CAN,--,N,25
3671,Cedrick Desjardins,20122013,TBL,R,3,2,0,3,--,0,73,65,8,0.89,3.0,160:06,0,0,0,0,0,1985,NB,CAN,--,N,27
3845,Cedrick Desjardins,20132014,TBL,R,1,0,0,1,--,0,13,11,2,0.846,6.65,18:02,0,0,0,0,2,1985,NB,CAN,--,N,28
2627,Cesare Maniago,19601961,TOR,L,7,7,4,2,1,--,236,219,17,0.928,2.43,418:58,0,0,0,0,2,1939,BC,CAN,--,N,21
2544,Cesare Maniago,19621963,MTL,L,14,13,5,5,4,--,402,360,42,0.896,3.07,820:00,0,0,0,0,2,1939,BC,CAN,--,N,23
2061,Cesare Maniago,19651966,NYR,L,28,28,9,14,4,--,890,796,94,0.894,3.5,1610:34,2,0,2,2,2,1939,BC,CAN,--,N,26
3771,Cesare Maniago,19661967,NYR,L,6,4,0,1,1,--,103,89,14,0.864,3.84,218:49,0,0,0,0,0,1939,BC,CAN,--,N,27
784,Cesare Maniago,19671968,MNS,L,52,49,22,16,9,--,"1,504","1,371",133,0.912,2.77,2876:57,6,0,0,0,12,1939,BC,CAN,--,N,28
1146,Cesare Maniago,19681969,MNS,L,64,64,18,34,10,--,"2,080","1,882",198,0.905,3.29,3608:04,1,0,0,0,12,1939,BC,CAN,--,N,29
2014,Cesare Maniago,19691970,MNS,L,50,48,9,24,16,--,"1,777","1,614",163,0.908,3.39,2886:05,2,0,0,0,0,1939,BC,CAN,--,N,30
1035,Cesare Maniago,19701971,MNS,L,40,40,19,15,6,--,"1,248","1,141",107,0.914,2.7,2378:17,5,0,1,1,2,1939,BC,CAN,--,N,31
936,Cesare Maniago,19711972,MNS,L,43,42,20,17,4,--,"1,392","1,280",112,0.92,2.65,2534:35,3,0,0,0,4,1939,BC,CAN,--,N,32
877,Cesare Maniago,19721973,MNS,L,47,44,21,18,6,--,"1,474","1,342",132,0.91,2.9,2732:06,5,0,0,0,2,1939,BC,CAN,--,N,33
1721,Cesare Maniago,19731974,MNS,L,40,39,12,18,10,--,"1,354","1,216",138,0.898,3.48,2376:30,1,0,0,0,2,1939,BC,CAN,--,N,34
1843,Cesare Maniago,19741975,MNS,L,37,36,11,21,4,--,"1,251","1,102",149,0.881,4.21,2125:46,1,0,0,0,2,1939,BC,CAN,--,N,35
1587,Cesare Maniago,19751976,MNS,L,47,45,13,27,5,--,"1,521","1,370",151,0.901,3.36,2698:36,2,0,0,0,11,1939,BC,CAN,--,N,36
1237,Cesare Maniago,19761977,VAN,L,47,45,17,21,9,--,"1,426","1,275",151,0.894,3.36,2694:17,1,0,1,1,0,1939,BC,CAN,--,N,37
1975,Cesare Maniago,19771978,VAN,L,46,41,10,24,8,--,"1,327","1,155",172,0.87,4.03,2562:41,1,0,0,0,18,1939,BC,CAN,--,N,38
3465,Chad Erickson,19911992,NJD,R,2,2,1,1,0,--,55,46,9,0.836,4.5,120:00,0,0,0,0,0,1970,MN,USA,7,N,21
3241,Chad Johnson,20092010,NYR,L,5,4,1,2,--,1,135,124,11,0.919,2.35,280:43,0,0,1,1,0,1986,SK,CAN,5,N,23
3933,Chad Johnson,20102011,NYR,L,1,0,0,0,--,0,11,9,2,0.818,6.0,20:00,0,0,0,0,0,1986,SK,CAN,5,N,24
2975,Chad Johnson,20122013,PHX,L,4,4,2,0,--,2,108,103,5,0.954,1.22,246:37,1,0,0,0,0,1986,SK,CAN,5,N,26
1192,Chad Johnson,20132014,BOS,L,27,23,17,4,--,3,708,655,53,0.925,2.1,1510:49,2,0,0,0,0,1986,SK,CAN,5,N,27
2202,Chad Johnson,20142015,NYI,L,19,17,8,8,--,1,488,434,54,0.889,3.08,1052:49,0,0,0,0,0,1986,SK,CAN,5,N,28
769,Chad Johnson,20152016,BUF,L,45,40,22,16,--,4,"1,270","1,168",102,0.92,2.36,2591:05,1,0,2,2,0,1986,SK,CAN,5,N,29
1132,Chad Johnson,20162017,CGY,L,36,36,18,15,--,1,969,882,87,0.91,2.59,2013:12,3,0,0,0,0,1986,SK,CAN,5,N,30
1936,Chad Johnson,20172018,BUF,L,36,29,10,16,--,3,962,857,105,0.891,3.55,1773:32,0,0,0,0,0,1986,SK,CAN,5,N,31
3094,Chad Johnson,20182019,"STL,ANA",L,19,11,2,11,--,0,406,357,49,0.879,3.63,810:29,1,0,0,0,0,1986,SK,CAN,5,N,32
2483,Charlie Hodge,19541955,MTL,L,14,13,6,4,4,--,--,--,30,--,2.2,819:00,1,0,0,0,0,1933,QC,CAN,--,N,21
2148,Charlie Hodge,19571958,MTL,L,12,12,8,2,2,--,348,317,31,0.911,2.58,720:00,1,0,0,0,0,1933,QC,CAN,--,N,24
3360,Charlie Hodge,19581959,MTL,L,2,2,1,1,0,--,50,44,6,0.88,3.0,120:00,0,0,0,0,0,1933,QC,CAN,--,N,25
3710,Charlie Hodge,19591960,MTL,L,1,1,0,1,0,--,25,22,3,0.88,3.0,60:00,0,0,0,0,0,1933,QC,CAN,--,N,26
1122,Charlie Hodge,19601961,MTL,L,30,30,18,8,4,--,876,802,74,0.916,2.47,1798:00,4,0,0,0,0,1933,QC,CAN,--,N,27
219,Charlie Hodge,19631964,MTL,L,62,62,33,18,11,--,"1,753","1,613",140,0.92,2.26,3719:38,8,0,0,0,2,1933,QC,CAN,--,N,30
555,Charlie Hodge,19641965,MTL,L,53,53,26,16,10,--,"1,427","1,292",135,0.905,2.6,3120:05,3,0,0,0,2,1933,QC,CAN,--,N,31
1579,Charlie Hodge,19651966,MTL,L,26,22,13,8,2,--,587,531,56,0.905,2.58,1300:34,1,0,0,0,0,1933,QC,CAN,--,N,32
1482,Charlie Hodge,19661967,MTL,L,37,34,14,15,7,--,965,877,88,0.909,2.57,2054:42,3,0,0,0,2,1933,QC,CAN,--,N,33
1575,Charlie Hodge,19671968,OAK,L,58,57,13,31,13,--,"1,668","1,510",158,0.905,2.87,3307:39,3,0,0,0,4,1933,QC,CAN,--,N,34
2915,Charlie Hodge,19681969,OAK,L,14,12,3,8,2,--,391,343,48,0.877,3.7,778:53,0,0,0,0,0,1933,QC,CAN,--,N,35
2864,Charlie Hodge,19691970,OAK,L,14,10,3,5,2,--,408,365,43,0.895,3.51,736:01,0,0,0,0,0,1933,QC,CAN,--,N,36
1431,Charlie Hodge,19701971,VAN,L,35,34,15,13,5,--,"1,045",933,112,0.893,3.42,1964:52,0,0,0,0,0,1933,QC,CAN,--,N,37
3229,Charlie Lindgren,20152016,MTL,R,1,1,1,0,--,0,28,26,2,0.929,2.0,60:00,0,0,0,0,0,1993,MN,USA,--,N,22
2977,Charlie Lindgren,20162017,MTL,R,2,2,2,0,--,0,59,56,3,0.949,1.48,121:42,0,0,0,0,0,1993,MN,USA,--,N,23
2659,Charlie Lindgren,20172018,MTL,R,14,14,4,8,--,2,457,415,42,0.908,3.03,832:58,2,0,0,0,2,1993,MN,USA,--,N,24
3294,Charlie Lindgren,20182019,MTL,R,1,1,1,0,--,0,49,44,5,0.898,4.62,65:00,0,0,0,0,0,1993,MN,USA,--,N,25
3067,Charlie Lindgren,20192020,MTL,R,6,6,2,4,--,0,178,158,20,0.888,3.33,360:51,0,0,0,0,0,1993,MN,USA,--,N,26
3679,Chris Beckford-Tseu,20072008,STL,L,1,0,0,0,--,0,9,8,1,0.889,2.25,26:37,0,0,0,0,0,1984,ON,CAN,5,N,23
3508,Chris Clifford,19841985,CHI,L,1,0,0,0,0,--,8,8,0,1,0.0,20:00,0,0,0,0,0,1966,ON,CAN,6,N,18
4066,Chris Clifford,19881989,CHI,L,1,0,0,0,0,--,0,0,0,--,0.0,4:10,0,0,0,0,0,1966,ON,CAN,6,N,22
3554,Chris Driedger,20142015,OTT,L,1,0,0,0,--,0,10,10,0,1,0.0,22:52,0,0,0,0,0,1994,MB,CAN,3,N,20
3555,Chris Driedger,20152016,OTT,L,1,0,0,0,--,0,11,11,0,1,0.0,31:49,0,0,0,0,0,1994,MB,CAN,3,N,21
4033,Chris Driedger,20162017,OTT,L,1,0,0,1,--,0,15,11,4,0.733,6.0,40:00,0,0,0,0,0,1994,MB,CAN,3,N,22
2258,Chris Driedger,20192020,FLA,L,12,11,7,2,--,1,354,332,22,0.938,2.05,642:40,1,0,0,0,0,1994,MB,CAN,3,N,25
1464,Chris Driedger,20202021,FLA,L,23,23,14,6,--,3,640,593,47,0.927,2.07,1361:36,3,0,2,2,0,1994,MB,CAN,3,N,26
3538,Chris Holt,20052006,NYR,L,1,0,0,0,--,0,2,2,0,1,0.0,10:24,0,0,0,0,0,1985,BC,CAN,6,N,20
3539,Chris Holt,20082009,STL,L,1,0,0,0,--,0,3,3,0,1,0.0,18:33,0,0,0,0,0,1985,BC,CAN,6,N,23
3776,Chris Mason,19981999,NSH,L,3,0,0,0,0,--,44,38,6,0.864,5.21,69:07,0,0,0,0,0,1976,AB,CAN,5,N,22
3641,Chris Mason,20002001,NSH,L,1,1,0,1,0,--,20,18,2,0.9,2.05,58:35,0,0,0,0,0,1976,AB,CAN,5,N,24
2630,Chris Mason,20032004,NSH,L,17,9,4,4,1,--,365,338,27,0.926,2.18,743:44,1,0,0,0,4,1976,AB,CAN,5,N,27
1685,Chris Mason,20052006,NSH,L,23,20,12,5,--,1,597,545,52,0.913,2.54,1226:41,2,1,0,1,0,1976,AB,CAN,5,N,29
639,Chris Mason,20062007,NSH,L,40,38,24,11,--,4,"1,244","1,151",93,0.925,2.38,2341:41,5,0,1,1,4,1976,AB,CAN,5,N,30
1155,Chris Mason,20072008,NSH,L,51,45,18,22,--,6,"1,278","1,148",130,0.898,2.9,2691:58,4,0,1,1,0,1976,AB,CAN,5,N,31
467,Chris Mason,20082009,STL,L,57,51,27,21,--,7,"1,544","1,415",129,0.916,2.41,3214:54,6,0,1,1,0,1976,AB,CAN,5,N,32
350,Chris Mason,20092010,STL,L,61,61,30,22,--,8,"1,699","1,551",148,0.913,2.53,3512:09,2,0,0,0,0,1976,AB,CAN,5,N,33
1606,Chris Mason,20102011,ATL,L,33,28,13,13,--,3,882,787,95,0.892,3.39,1681:41,1,0,0,0,4,1976,AB,CAN,5,N,34
2183,Chris Mason,20112012,WPG,L,20,15,8,7,--,1,422,379,43,0.898,2.59,994:52,2,0,0,0,0,1976,AB,CAN,5,N,35
3378,Chris Mason,20122013,NSH,L,11,6,1,7,--,1,229,200,29,0.873,3.73,466:44,0,0,0,0,0,1976,AB,CAN,5,N,36
741,Chris Osgood,19931994,DET,L,41,37,23,8,5,--,999,894,105,0.895,2.86,2206:07,2,0,0,0,2,1972,AB,CAN,3,N,21
1469,Chris Osgood,19941995,DET,L,19,19,14,5,0,--,496,455,41,0.917,2.26,1086:41,1,0,0,0,2,1972,AB,CAN,3,N,22
66,Chris Osgood,19951996,DET,L,50,47,39,6,5,--,"1,190","1,084",106,0.911,2.17,2932:59,5,1,2,3,4,1972,AB,CAN,3,N,23
710,Chris Osgood,19961997,DET,L,47,45,23,13,9,--,"1,175","1,069",106,0.91,2.3,2768:48,6,0,2,2,6,1972,AB,CAN,3,N,24
237,Chris Osgood,19971998,DET,L,64,64,33,20,11,--,"1,605","1,465",140,0.913,2.21,3806:39,6,0,0,0,31,1972,AB,CAN,3,N,25
198,Chris Osgood,19981999,DET,L,63,63,34,25,4,--,"1,654","1,505",149,0.91,2.42,3691:21,3,0,3,3,8,1972,AB,CAN,3,N,26
359,Chris Osgood,19992000,DET,L,53,52,30,14,8,--,"1,349","1,223",126,0.907,2.4,3147:32,6,0,1,1,18,1972,AB,CAN,3,N,27
610,Chris Osgood,20002001,DET,L,52,48,25,19,4,--,"1,310","1,183",127,0.903,2.69,2834:01,1,0,0,0,8,1972,AB,CAN,3,N,28
274,Chris Osgood,20012002,NYI,L,66,65,32,25,6,--,"1,727","1,571",156,0.91,2.5,3742:47,4,0,4,4,10,1972,AB,CAN,3,N,29
907,Chris Osgood,20022003,"NYI,STL",L,46,45,21,17,6,--,"1,153","1,029",124,0.892,2.95,2524:51,4,0,0,0,12,1972,AB,CAN,3,N,30
310,Chris Osgood,20032004,STL,L,67,65,31,25,8,--,"1,604","1,460",144,0.91,2.24,3861:05,3,0,0,0,10,1972,AB,CAN,3,N,31
977,Chris Osgood,20052006,DET,L,32,29,20,6,--,5,828,743,85,0.897,2.76,1846:02,2,0,0,0,8,1972,AB,CAN,3,N,33
1797,Chris Osgood,20062007,DET,L,21,19,11,3,--,6,496,450,46,0.907,2.38,1161:00,0,0,1,1,6,1972,AB,CAN,3,N,34
472,Chris Osgood,20072008,DET,L,43,40,27,9,--,4,976,892,84,0.914,2.09,2408:53,4,0,3,3,0,1972,AB,CAN,3,N,35
571,Chris Osgood,20082009,DET,L,46,44,26,9,--,8,"1,208","1,071",137,0.887,3.09,2662:43,2,0,2,2,8,1972,AB,CAN,3,N,36
2326,Chris Osgood,20092010,DET,L,23,21,7,9,--,4,561,498,63,0.888,3.02,1252:02,1,0,1,1,0,1972,AB,CAN,3,N,37
2526,Chris Osgood,20102011,DET,L,11,10,5,3,--,2,298,269,29,0.903,2.77,628:40,0,0,0,0,4,1972,AB,CAN,3,N,38
4020,Chris Pusey,19851986,DET,L,1,0,0,0,0,--,12,9,3,0.75,4.5,40:00,0,0,0,0,0,1965,ON,CAN,6,N,20
3721,Chris Terreri,19861987,NJD,L,7,3,0,3,1,--,172,151,21,0.878,4.42,285:00,0,0,0,0,0,1964,RI,USA,5,N,22
3658,Chris Terreri,19881989,NJD,L,8,4,0,4,2,--,169,151,18,0.893,2.69,401:49,0,0,0,0,2,1964,RI,USA,5,N,24
1436,Chris Terreri,19891990,NJD,L,35,31,15,12,3,--,"1,001",891,110,0.89,3.42,1931:15,0,0,0,0,0,1964,RI,USA,5,N,25
673,Chris Terreri,19901991,NJD,L,53,51,24,21,7,--,"1,348","1,204",144,0.893,2.91,2970:18,1,0,3,3,2,1964,RI,USA,5,N,26
830,Chris Terreri,19911992,NJD,L,54,53,22,22,10,--,"1,511","1,342",169,0.888,3.18,3185:44,1,0,1,1,13,1964,RI,USA,5,N,27
1078,Chris Terreri,19921993,NJD,L,48,44,19,21,3,--,"1,324","1,173",151,0.886,3.39,2672:21,2,0,0,0,6,1964,RI,USA,5,N,28
957,Chris Terreri,19931994,NJD,L,44,37,20,11,4,--,"1,141","1,035",106,0.907,2.72,2340:06,2,0,2,2,4,1964,RI,USA,5,N,29
2846,Chris Terreri,19941995,NJD,L,15,9,3,7,2,--,309,278,31,0.9,2.53,734:00,0,0,0,0,0,1964,RI,USA,5,N,30
1349,Chris Terreri,19951996,"NJD,SJS",L,50,48,16,29,1,--,"1,414","1,250",164,0.884,3.61,2726:36,0,0,5,5,4,1964,RI,USA,5,N,31
1917,Chris Terreri,19961997,"SJS,CHI",L,29,25,10,11,5,--,745,671,74,0.901,2.73,1628:49,0,0,0,0,0,1964,RI,USA,5,N,32
2158,Chris Terreri,19971998,CHI,L,21,20,8,10,2,--,519,470,49,0.906,2.41,1221:57,2,0,1,1,2,1964,RI,USA,5,N,33
2184,Chris Terreri,19981999,NJD,L,12,12,8,3,1,--,294,264,30,0.898,2.48,725:30,1,0,1,1,0,1964,RI,USA,5,N,34
3105,Chris Terreri,19992000,NJD,L,12,10,2,9,0,--,299,262,37,0.876,3.42,648:52,0,0,0,0,2,1964,RI,USA,5,N,35
2688,Chris Terreri,20002001,"NJD,NYI",L,18,13,4,9,2,--,372,333,39,0.895,2.61,896:01,0,0,0,0,2,1964,RI,USA,5,N,36
2729,Chris Worthy,19681969,OAK,L,14,12,4,7,2,--,450,396,54,0.88,4.18,775:24,0,0,0,0,2,1947,--,GBR,--,N,21
3849,Chris Worthy,19691970,OAK,L,1,1,0,1,0,--,32,27,5,0.844,5.0,60:00,0,0,0,0,2,1947,--,GBR,--,N,22
3410,Chris Worthy,19701971,CGS,L,11,6,1,3,1,--,279,240,39,0.86,4.94,474:02,0,0,0,0,2,1947,--,GBR,--,N,23
4080,Christian Soucy,19931994,CHI,L,1,0,0,0,0,--,0,0,0,--,0.0,3:21,0,0,0,0,0,1970,QC,CAN,--,N,23
3352,Christopher Gibson,20152016,NYI,L,4,2,1,1,--,1,93,82,11,0.882,3.4,194:02,0,0,0,0,0,1992,--,FIN,2,N,23
3014,Christopher Gibson,20172018,NYI,L,8,8,2,3,--,2,284,258,26,0.908,3.65,426:52,0,0,0,0,0,1992,--,FIN,2,N,25
3577,Christopher Gibson,20182019,NYI,L,2,0,0,0,--,0,17,16,1,0.941,1.5,40:00,0,0,0,0,0,1992,--,FIN,2,N,26
3377,Christopher Gibson,20202021,TBL,L,2,2,1,1,--,0,40,35,5,0.875,2.66,112:58,0,0,0,0,0,1992,--,FIN,2,N,28
1099,Chuck Rayner,19501951,NYR,L,66,66,19,27,20,--,--,--,185,--,2.82,3940:00,2,0,0,0,6,1920,SK,CAN,--,Y,30
1189,Chuck Rayner,19511952,NYR,L,53,53,18,25,10,--,--,--,156,--,2.94,3180:00,2,0,0,0,4,1920,SK,CAN,--,Y,31
2783,Chuck Rayner,19521953,NYR,L,20,20,4,8,8,--,--,--,58,--,2.9,1200:00,1,0,0,0,2,1920,SK,CAN,--,Y,32
3799,Claude Cyr,19581959,MTL,L,1,0,0,0,0,--,7,6,1,0.857,3.0,20:00,0,0,0,0,0,1939,QC,CAN,--,N,19
3502,Claude Evans,19541955,MTL,L,4,4,1,2,0,--,--,--,12,--,3.6,200:00,0,0,0,0,0,1933,QC,CAN,--,N,21
3701,Claude Evans,19571958,BOS,L,1,1,0,0,1,--,34,30,4,0.882,4.0,60:00,0,0,0,0,0,1933,QC,CAN,--,N,24
3698,Claude Legris,19801981,DET,L,3,1,0,1,0,--,34,30,4,0.882,3.79,63:21,0,0,0,0,0,1956,QC,CAN,8,N,24
3516,Claude Legris,19811982,DET,L,1,0,0,0,1,--,18,18,0,1,0.0,28:09,0,0,1,1,0,1956,QC,CAN,8,N,25
3187,Claude Pronovost,19551956,BOS,L,1,1,1,0,0,--,31,31,0,1,0.0,60:00,1,0,0,0,2,1935,QC,CAN,--,N,20
3998,Claude Pronovost,19581959,MTL,L,2,1,0,1,0,--,31,24,7,0.774,7.0,60:00,0,0,0,0,0,1935,QC,CAN,--,N,23
3473,Cleon Daskalakis,19841985,BOS,L,8,4,1,2,1,--,141,117,24,0.83,4.97,289:39,0,0,0,0,0,1962,MA,USA,--,N,22
3856,Cleon Daskalakis,19851986,BOS,L,2,2,0,2,0,--,63,53,10,0.841,5.02,119:34,0,0,0,0,0,1962,MA,USA,--,N,23
3136,Cleon Daskalakis,19861987,BOS,L,2,1,2,0,0,--,51,44,7,0.863,4.34,96:51,0,0,0,0,0,1962,MA,USA,--,N,24
3983,Clint Malarchuk,19811982,QUE,L,2,2,0,1,1,--,66,52,14,0.788,7.0,120:00,0,0,0,0,0,1961,AB,CAN,4,N,20
2246,Clint Malarchuk,19821983,QUE,L,15,15,8,5,2,--,517,446,71,0.863,4.74,898:18,0,0,0,0,0,1961,AB,CAN,4,N,21
1983,Clint Malarchuk,19831984,QUE,L,22,19,10,9,2,--,591,511,80,0.865,3.97,1210:30,0,0,1,1,9,1961,AB,CAN,4,N,22
565,Clint Malarchuk,19851986,QUE,L,46,44,26,12,4,--,"1,357","1,215",142,0.895,3.21,2655:21,4,0,3,3,21,1961,AB,CAN,4,N,24
1170,Clint Malarchuk,19861987,QUE,L,54,52,18,26,9,--,"1,511","1,336",175,0.884,3.4,3084:14,1,0,2,2,37,1961,AB,CAN,4,N,25
679,Clint Malarchuk,19871988,WSH,L,54,47,24,20,4,--,"1,338","1,184",154,0.885,3.16,2923:53,4,0,2,2,10,1961,AB,CAN,4,N,26
1085,Clint Malarchuk,19881989,"WSH,BUF",L,49,44,19,19,8,--,"1,286","1,132",154,0.88,3.36,2753:25,2,0,1,1,18,1961,AB,CAN,4,N,27
1498,Clint Malarchuk,19891990,BUF,L,29,27,14,11,2,--,913,824,89,0.903,3.35,1596:16,0,0,2,2,14,1961,AB,CAN,4,N,28
1738,Clint Malarchuk,19901991,BUF,L,37,36,12,14,10,--,"1,090",971,119,0.891,3.35,2130:54,1,0,4,4,19,1961,AB,CAN,4,N,29
1945,Clint Malarchuk,19911992,BUF,L,29,28,10,13,3,--,903,801,102,0.887,3.73,1639:11,0,0,0,0,6,1961,AB,CAN,4,N,30
3191,Cody Rudkowsky,20022003,STL,L,1,0,1,0,0,--,10,10,0,1,0.0,30:03,0,0,0,0,0,1978,AB,CAN,--,N,24
3333,Collin Delia,20172018,CHI,L,2,2,1,1,--,0,63,56,7,0.889,3.96,105:59,0,0,0,0,2,1994,CA,USA,--,N,23
2387,Collin Delia,20182019,CHI,L,16,14,6,4,--,3,545,495,50,0.908,3.61,831:03,0,0,0,0,0,1994,CA,USA,--,N,24
3280,Collin Delia,20202021,CHI,L,6,5,1,3,--,1,205,185,20,0.902,3.59,334:29,0,0,0,0,0,1994,CA,USA,--,N,26
1558,Connor Hellebuyck,20152016,WPG,L,26,26,13,11,--,1,683,627,56,0.918,2.34,1433:28,2,0,0,0,0,1993,MI,USA,5,N,22
550,Connor Hellebuyck,20162017,WPG,L,56,53,26,19,--,4,"1,572","1,426",146,0.907,2.89,3033:31,4,0,0,0,0,1993,MI,USA,5,N,23
8,Connor Hellebuyck,20172018,WPG,L,67,64,44,11,--,9,"2,048","1,892",156,0.924,2.36,3965:54,6,0,2,2,0,1993,MI,USA,5,N,24
193,Connor Hellebuyck,20182019,WPG,L,63,62,34,23,--,3,"2,051","1,872",179,0.913,2.9,3704:06,2,0,3,3,4,1993,MI,USA,5,N,25
290,Connor Hellebuyck,20192020,WPG,L,58,56,31,21,--,5,"1,796","1,656",140,0.922,2.57,3268:33,6,0,2,2,0,1993,MI,USA,5,N,26
649,Connor Hellebuyck,20202021,WPG,L,45,45,24,17,--,3,"1,335","1,223",112,0.916,2.58,2602:49,4,0,0,0,0,1993,MI,USA,5,N,27
3736,Connor Knapp,20132014,BUF,L,2,1,0,0,--,1,32,28,4,0.875,3.14,76:31,0,0,1,1,0,1990,NY,USA,6,N,23
3720,Corey Crawford,20052006,CHI,L,2,1,0,0,--,1,41,36,5,0.878,3.47,86:27,0,0,0,0,0,1984,QC,CAN,2,N,21
3227,Corey Crawford,20072008,CHI,L,5,3,1,2,--,0,112,104,8,0.929,2.14,224:09,1,0,0,0,0,1984,QC,CAN,2,N,23
3613,Corey Crawford,20092010,CHI,L,1,1,0,1,--,0,35,32,3,0.914,3.04,59:13,0,0,0,0,0,1984,QC,CAN,2,N,25
231,Corey Crawford,20102011,CHI,L,57,55,33,18,--,6,"1,545","1,417",128,0.917,2.3,3336:37,4,0,1,1,2,1984,QC,CAN,2,N,26
364,Corey Crawford,20112012,CHI,L,57,55,30,17,--,7,"1,507","1,361",146,0.903,2.72,3218:13,0,0,0,0,0,1984,QC,CAN,2,N,27
1019,Corey Crawford,20122013,CHI,L,30,28,19,5,--,5,769,712,57,0.926,1.94,1760:31,3,0,0,0,4,1984,QC,CAN,2,N,28
269,Corey Crawford,20132014,CHI,L,59,56,32,16,--,10,"1,533","1,405",128,0.917,2.26,3395:01,2,0,1,1,0,1984,QC,CAN,2,N,29
256,Corey Crawford,20142015,CHI,L,57,57,32,20,--,5,"1,661","1,535",126,0.924,2.27,3333:20,2,0,1,1,8,1984,QC,CAN,2,N,30
144,Corey Crawford,20152016,CHI,L,58,58,35,18,--,5,"1,718","1,587",131,0.924,2.37,3322:39,7,0,1,1,2,1984,QC,CAN,2,N,31
265,Corey Crawford,20162017,CHI,L,55,55,32,18,--,4,"1,691","1,553",138,0.918,2.55,3246:52,2,0,1,1,2,1984,QC,CAN,2,N,32
1275,Corey Crawford,20172018,CHI,L,28,27,16,9,--,2,842,782,60,0.929,2.27,1583:30,2,0,0,0,0,1984,QC,CAN,2,N,33
1486,Corey Crawford,20182019,CHI,L,39,39,14,18,--,5,"1,176","1,068",108,0.908,2.93,2212:51,2,0,4,4,0,1984,QC,CAN,2,N,34
1291,Corey Crawford,20192020,CHI,L,40,39,16,20,--,3,"1,294","1,186",108,0.917,2.77,2340:03,1,0,0,0,0,1984,QC,CAN,2,N,35
3364,Corey Hirsch,19921993,NYR,L,4,4,1,2,1,--,116,102,14,0.879,3.75,224:00,0,0,0,0,0,1972,AB,CAN,8,N,20
1224,Corey Hirsch,19951996,VAN,L,41,38,17,14,6,--,"1,173","1,059",114,0.903,2.93,2337:36,1,0,2,2,2,1972,AB,CAN,8,N,23
1732,Corey Hirsch,19961997,VAN,L,39,37,12,20,4,--,"1,090",974,116,0.894,3.27,2126:37,2,0,1,1,6,1972,AB,CAN,8,N,24
