,Player,Country,Draft Position,1st Season,HOF,GP,W,Career Save %,GAA
642,Sebastien Caron,CAN,86.0,20002001,N,95,26,0.8984,2.968
643,Jacques Caron,CAN,,19671968,N,72,24,0.8779999999999999,3.772
644,Jim Carey,USA,32.0,19941995,N,172,79,0.8854,2.848
645,Frank Caprice,CAN,178.0,19821983,N,102,31,0.8166666666666668,5.203333333333333
646,Jack Campbell,USA,11.0,20132014,N,86,40,0.9248333333333334,2.6216666666666666
648,Sean Burke,CAN,24.0,19871988,N,820,324,0.9009444444444444,2.9544444444444444
650,Bruce Bullock,CAN,,19721973,N,16,3,0.8220000000000001,5.1866666666666665
651,Peter Budaj,SVK,63.0,20052006,N,368,158,0.8934615384615385,2.996923076923077
652,Ilya Bryzgalov,RUS,44.0,20012002,N,465,221,0.9079166666666666,2.5966666666666667
654,Mario Brunetta,CAN,162.0,19871988,N,40,12,0.8603333333333333,4.283333333333334
656,Andy Brown,CAN,,19711972,N,62,22,0.8786666666666667,3.93
657,Laurent Brossoit,CAN,164.0,20142015,N,82,32,0.9118571428571428,2.724285714285714
658,Ross Brooks,CAN,,19721973,N,54,37,0.9016666666666668,2.66
659,Gary Bromley,CAN,,19731974,N,136,54,0.863,4.006666666666667
660,Richard Brodeur,CAN,97.0,19791980,N,385,131,0.8672222222222222,3.9322222222222223
662,Martin Brodeur,CAN,20.0,19911992,Y,1266,691,0.9095454545454548,2.3363636363636364
664,Ken Broderick,CAN,,19691970,N,27,11,0.886,3.306666666666666
667,Fred Brathwaite,CAN,,19931994,N,254,81,0.8974444444444445,2.8744444444444444
669,Johnny Bower,CAN,,19531954,Y,552,250,0.9144615384615384,2.716
671,Rollie Boutin,CAN,111.0,19781979,N,22,7,0.8483333333333333,5.226666666666667
672,Brian Boucher,USA,22.0,19992000,N,328,120,0.8990769230769231,2.7584615384615385
673,Dan Bouchard,CAN,27.0,19721973,N,656,286,0.8897857142857143,3.267857142857143
675,Sergei Bobrovsky,RUS,,20102011,N,538,297,0.9150909090909092,2.601818181818182
676,John Blue,USA,197.0,19921993,N,46,16,0.8896666666666667,3.1366666666666667
677,Mike Blake,CAN,,19811982,N,40,13,0.8873333333333333,3.623333333333333
678,Mackenzie Blackwood,CAN,42.0,20182019,N,105,46,0.9116666666666668,2.806666666666666
679,Dan Blackburn,CAN,10.0,20012002,N,63,20,0.894,3.225
680,Ben Bishop,USA,85.0,20082009,N,413,222,0.9151818181818182,2.4527272727272726
681,Martin Biron,CAN,16.0,19951996,N,508,230,0.8974375,3.034375
682,Jordan Binnington,CAN,88.0,20152016,N,125,72,0.87475,2.9475
683,Les Binkley,CAN,,19671968,N,196,58,0.8952,3.152
685,Craig Billington,CAN,23.0,19851986,N,332,110,0.8751333333333334,3.5886666666666667
686,Zac Bierk,CAN,212.0,19971998,N,47,9,0.8766666666666666,3.6366666666666663
688,Allan Bester,CAN,48.0,19831984,N,219,73,0.8583000000000001,3.882
689,J-F Berube,CAN,95.0,20152016,N,34,9,0.899,3.303333333333333
691,Reto Berra,CHE,106.0,20132014,N,76,20,0.907,2.778
692,Jonathan Bernier,CAN,11.0,20072008,N,394,161,0.9123846153846156,2.686923076923077
693,Tim Bernhardt,CAN,47.0,19821983,N,67,17,0.78975,5.585
695,Jean Claude Bergeron,CAN,104.0,19901991,N,72,21,0.8706666666666667,3.735
696,Michel Belhumeur,CAN,40.0,19721973,N,65,9,0.8746666666666667,4.57
697,Ed Belfour,CAN,,19881989,Y,963,484,0.9050588235294118,2.566470588235294
698,Yves Belanger,CAN,,19741975,N,78,29,0.852,3.985
699,Marc Behrend,USA,85.0,19831984,N,39,12,0.8356666666666666,5.23
700,Jim Bedard,CAN,91.0,19771978,N,73,17,0.871,4.015000000000001
702,Stephane Beauregard,CAN,52.0,19891990,N,90,19,0.8718,3.882
703,Don Beaupre,CAN,37.0,19801981,N,666,268,0.8821764705882353,3.586470588235294
704,Gary Bauman,CAN,,19661967,N,35,5,0.8883333333333333,3.4633333333333334
705,Hank Bassen,CAN,,19541955,N,157,47,0.896375,3.117777777777777
706,Tom Barrasso,USA,5.0,19831984,N,777,369,0.8890526315789473,3.4331578947368424
707,Marco Baron,CAN,99.0,19791980,N,86,34,0.8485,3.5283333333333338
708,Murray Bannerman,CAN,58.0,19771978,N,289,116,0.89325,3.43375
709,Mike Bales,CAN,105.0,19921993,N,23,2,0.88725,2.8025
710,Steve Baker,USA,44.0,19791980,N,57,20,0.8595,3.9775
711,Scott Bailey,CAN,112.0,19951996,N,19,6,0.875,3.46
712,Niklas Backstrom,FIN,,20062007,N,413,196,0.9086,2.632
714,Richard Bachman,USA,120.0,20102011,N,49,20,0.90475,2.9425
716,Jason Bacashihua,USA,26.0,20022003,N,38,7,0.8975,3.1950000000000003
718,Alex Auld,CAN,40.0,20012002,N,237,91,0.9078,2.602
719,Jean-Sebastien Aubin,CAN,76.0,19981999,N,218,80,0.8983333333333334,2.9366666666666665
720,Hardy Astrom,SWE,,19771978,N,83,17,0.8753333333333333,3.68
724,Craig Anderson,USA,73.0,20022003,N,652,291,0.912,2.7816666666666667
725,Frederik Andersen,DNK,87.0,20132014,N,393,226,0.914125,2.62875
728,Jake Allen,CAN,34.0,20122013,N,318,159,0.91225,2.49
731,David Aebischer,CHE,161.0,20002001,N,214,106,0.9117142857142858,2.557142857142857
732,John Adams,CAN,,19721973,N,22,9,0.8694999999999999,4.95
